State,Cat,Count,,
Alabama,Arson,34,,
Alabama,Bribery,0,,
Alabama,Burglary/Breaking&Entering,910,,
Alabama,Counterfeiting/Forgery,186,,
Alabama,Destruction/Damage/Vandalism ,"1,375",,
Alabama,Embezzlement,40,,
Alabama,Extortion/Blackmail,13,,
Alabama,FraudOffenses,820,,
Alabama,Larceny/TheftOffenses,"3,840",,
Alabama,MotorVehicleTheft,541,,
Alabama,Robbery,66,,
Alabama,StolenPropertyOffenses,156,,
Arizona,Arson,186,,
Arizona,Bribery,1,,
Arizona,Burglary/Breaking&Entering,"4,404",,
Arizona,Counterfeiting/Forgery,567,,
Arizona,Destruction/Damage/Vandalism ,"8,390",,
Arizona,Embezzlement,147,,
Arizona,Extortion/Blackmail,113,,
Arizona,FraudOffenses,"6,778",,
Arizona,Larceny/TheftOffenses,"23,063",,
Arizona,MotorVehicleTheft,"2,611",,
Arizona,Robbery,720,,
Arizona,StolenPropertyOffenses,304,,
Arkansas,Arson,556,,
Arkansas,Bribery,1,,
Arkansas,Burglary/Breaking&Entering,"14,994",,
Arkansas,Counterfeiting/Forgery,"3,868",,
Arkansas,Destruction/Damage/Vandalism ,"26,063",,
Arkansas,Embezzlement,77,,
Arkansas,Extortion/Blackmail,47,,
Arkansas,FraudOffenses,"23,636",,
Arkansas,Larceny/TheftOffenses,"54,991",,
Arkansas,MotorVehicleTheft,"7,355",,
Arkansas,Robbery,"1,440",,
Arkansas,StolenPropertyOffenses,"2,481",,
Colorado,Arson,"1,329",,
Colorado,Bribery,156,,
Colorado,Burglary/Breaking&Entering,"22,539",,
Colorado,Counterfeiting/Forgery,"3,910",,
Colorado,Destruction/Damage/Vandalism ,"48,987",,
Colorado,Embezzlement,313,,
Colorado,Extortion/Blackmail,751,,
Colorado,FraudOffenses,"29,769",,
Colorado,Larceny/TheftOffenses,"112,828",,
Colorado,MotorVehicleTheft,"30,179",,
Colorado,Robbery,"3,958",,
Colorado,StolenPropertyOffenses,"2,904",,
Connecticut,Arson,159,,
Connecticut,Bribery,3,,
Connecticut,Burglary/Breaking&Entering,"5,897",,
Connecticut,Counterfeiting/Forgery,"1,356",,
Connecticut,Destruction/Damage/Vandalism ,"14,435",,
Connecticut,Embezzlement,214,,
Connecticut,Extortion/Blackmail,164,,
Connecticut,FraudOffenses,"8,575",,
Connecticut,Larceny/TheftOffenses,"37,125",,
Connecticut,MotorVehicleTheft,"7,295",,
Connecticut,Robbery,"1,695",,
Connecticut,StolenPropertyOffenses,"1,279",,
Delaware,Arson,138,,
Delaware,Bribery,1,,
Delaware,Burglary/Breaking&Entering,"2,572",,
Delaware,Counterfeiting/Forgery,427,,
Delaware,Destruction/Damage/Vandalism ,"9,085",,
Delaware,Embezzlement,150,,
Delaware,Extortion/Blackmail,74,,
Delaware,FraudOffenses,"6,090",,
Delaware,Larceny/TheftOffenses,"15,849",,
Delaware,MotorVehicleTheft,"1,597",,
Delaware,Robbery,705,,
Delaware,StolenPropertyOffenses,556,,
District of Columbia,Arson,2,,
District of Columbia,Bribery,0,,
District of Columbia,Burglary/Breaking&Entering,1,,
District of Columbia,Counterfeiting/Forgery,4,,
District of Columbia,Destruction/Damage/Vandalism ,428,,
District of Columbia,Embezzlement,0,,
District of Columbia,Extortion/Blackmail,0,,
District of Columbia,FraudOffenses,9,,
District of Columbia,Larceny/TheftOffenses,412,,
District of Columbia,MotorVehicleTheft,29,,
District of Columbia,Robbery,165,,
District of Columbia,StolenPropertyOffenses,15,,
Georgia,Arson,651,,
Georgia,Bribery,12,,
Georgia,Burglary/Breaking&Entering,"18,567",,
Georgia,Counterfeiting/Forgery,"5,526",,
Georgia,Destruction/Damage/Vandalism ,"36,394",,
Georgia,Embezzlement,312,,
Georgia,Extortion/Blackmail,251,,
Georgia,FraudOffenses,"27,491",,
Georgia,Larceny/TheftOffenses,"97,267",,
Georgia,MotorVehicleTheft,"14,621",,
Georgia,Robbery,"3,862",,
Georgia,StolenPropertyOffenses,"2,866",,
Hawaii,Arson,319,,
Hawaii,Bribery,2,,
Hawaii,Burglary/Breaking&Entering,"3,301",,
Hawaii,Counterfeiting/Forgery,417,,
Hawaii,Destruction/Damage/Vandalism ,949,,
Hawaii,Embezzlement,32,,
Hawaii,Extortion/Blackmail,134,,
Hawaii,FraudOffenses,"4,091",,
Hawaii,Larceny/TheftOffenses,"18,238",,
Hawaii,MotorVehicleTheft,"3,744",,
Hawaii,Robbery,743,,
Hawaii,StolenPropertyOffenses,760,,
Idaho,Arson,152,,
Idaho,Bribery,1,,
Idaho,Burglary/Breaking&Entering,"3,405",,
Idaho,Counterfeiting/Forgery,744,,
Idaho,Destruction/Damage/Vandalism ,"6,751",,
Idaho,Embezzlement,139,,
Idaho,Extortion/Blackmail,101,,
Idaho,FraudOffenses,"4,936",,
Idaho,Larceny/TheftOffenses,"14,611",,
Idaho,MotorVehicleTheft,"1,626",,
Idaho,Robbery,163,,
Idaho,StolenPropertyOffenses,407,,
Illinois,Arson,61,,
Illinois,Bribery,0,,
Illinois,Burglary/Breaking&Entering,784,,
Illinois,Counterfeiting/Forgery,118,,
Illinois,Destruction/Damage/Vandalism ,"3,154",,
Illinois,Embezzlement,3,,
Illinois,Extortion/Blackmail,3,,
Illinois,FraudOffenses,858,,
Illinois,Larceny/TheftOffenses,"3,282",,
Illinois,MotorVehicleTheft,425,,
Illinois,Robbery,246,,
Illinois,StolenPropertyOffenses,84,,
Indiana,Arson,629,,
Indiana,Bribery,11,,
Indiana,Burglary/Breaking&Entering,"11,851",,
Indiana,Counterfeiting/Forgery,"2,020",,
Indiana,Destruction/Damage/Vandalism ,"10,360",,
Indiana,Embezzlement,352,,
Indiana,Extortion/Blackmail,105,,
Indiana,FraudOffenses,"14,877",,
Indiana,Larceny/TheftOffenses,"56,932",,
Indiana,MotorVehicleTheft,"10,860",,
Indiana,Robbery,"3,333",,
Indiana,StolenPropertyOffenses,"1,257",,
Iowa,Arson,419,,
Iowa,Bribery,58,,
Iowa,Burglary/Breaking&Entering,"11,149",,
Iowa,Counterfeiting/Forgery,"3,159",,
Iowa,Destruction/Damage/Vandalism ,"17,982",,
Iowa,Embezzlement,164,,
Iowa,Extortion/Blackmail,136,,
Iowa,FraudOffenses,"7,235",,
Iowa,Larceny/TheftOffenses,"36,165",,
Iowa,MotorVehicleTheft,"6,195",,
Iowa,Robbery,928,,
Iowa,StolenPropertyOffenses,714,,
Kansas,Arson,512,,
Kansas,Bribery,6,,
Kansas,Burglary/Breaking&Entering,"7,818",,
Kansas,Counterfeiting/Forgery,"2,850",,
Kansas,Destruction/Damage/Vandalism ,"25,413",,
Kansas,Embezzlement,634,,
Kansas,Extortion/Blackmail,244,,
Kansas,FraudOffenses,"12,986",,
Kansas,Larceny/TheftOffenses,"39,479",,
Kansas,MotorVehicleTheft,"5,913",,
Kansas,Robbery,816,,
Kansas,StolenPropertyOffenses,"1,555",,
Kentucky,Arson,360,,
Kentucky,Bribery,53,,
Kentucky,Burglary/Breaking&Entering,"14,724",,
Kentucky,Counterfeiting/Forgery,"2,458",,
Kentucky,Destruction/Damage/Vandalism ,"21,038",,
Kentucky,Embezzlement,"1,382",,
Kentucky,Extortion/Blackmail,81,,
Kentucky,FraudOffenses,"7,066",,
Kentucky,Larceny/TheftOffenses,"54,885",,
Kentucky,MotorVehicleTheft,"11,242",,
Kentucky,Robbery,"2,288",,
Kentucky,StolenPropertyOffenses,"4,117",,
Louisiana,Arson,71,,
Louisiana,Bribery,1,,
Louisiana,Burglary/Breaking&Entering,"6,312",,
Louisiana,Counterfeiting/Forgery,759,,
Louisiana,Destruction/Damage/Vandalism ,"9,117",,
Louisiana,Embezzlement,196,,
Louisiana,Extortion/Blackmail,59,,
Louisiana,FraudOffenses,"1,735",,
Louisiana,Larceny/TheftOffenses,"23,833",,
Louisiana,MotorVehicleTheft,"2,594",,
Louisiana,Robbery,508,,
Louisiana,StolenPropertyOffenses,879,,
Maine,Arson,170,,
Maine,Bribery,2,,
Maine,Burglary/Breaking&Entering,"1,179",,
Maine,Counterfeiting/Forgery,331,,
Maine,Destruction/Damage/Vandalism ,"4,139",,
Maine,Embezzlement,97,,
Maine,Extortion/Blackmail,39,,
Maine,FraudOffenses,"2,529",,
Maine,Larceny/TheftOffenses,"7,636",,
Maine,MotorVehicleTheft,508,,
Maine,Robbery,100,,
Maine,StolenPropertyOffenses,65,,
Maryland,Arson,44,,
Maryland,Bribery,0,,
Maryland,Burglary/Breaking&Entering,"2,360",,
Maryland,Counterfeiting/Forgery,647,,
Maryland,Destruction/Damage/Vandalism ,"8,477",,
Maryland,Embezzlement,95,,
Maryland,Extortion/Blackmail,118,,
Maryland,FraudOffenses,"5,310",,
Maryland,Larceny/TheftOffenses,"19,235",,
Maryland,MotorVehicleTheft,"3,317",,
Maryland,Robbery,"1,280",,
Maryland,StolenPropertyOffenses,180,,
Massachusetts,Arson,419,,
Massachusetts,Bribery,12,,
Massachusetts,Burglary/Breaking&Entering,"10,299",,
Massachusetts,Counterfeiting/Forgery,"2,530",,
Massachusetts,Destruction/Damage/Vandalism ,"29,897",,
Massachusetts,Embezzlement,339,,
Massachusetts,Extortion/Blackmail,534,,
Massachusetts,FraudOffenses,"52,246",,
Massachusetts,Larceny/TheftOffenses,"57,363",,
Massachusetts,MotorVehicleTheft,"6,815",,
Massachusetts,Robbery,"2,999",,
Massachusetts,StolenPropertyOffenses,"1,747",,
Michigan,Arson,"1,768",,
Michigan,Bribery,11,,
Michigan,Burglary/Breaking&Entering,"22,172",,
Michigan,Counterfeiting/Forgery,"3,017",,
Michigan,Destruction/Damage/Vandalism ,"47,579",,
Michigan,Embezzlement,"1,685",,
Michigan,Extortion/Blackmail,517,,
Michigan,FraudOffenses,"36,400",,
Michigan,Larceny/TheftOffenses,"93,671",,
Michigan,MotorVehicleTheft,"18,074",,
Michigan,Robbery,"4,424",,
Michigan,StolenPropertyOffenses,"4,631",,
Minnesota,Arson,454,,
Minnesota,Bribery,7,,
Minnesota,Burglary/Breaking&Entering,"11,528",,
Minnesota,Counterfeiting/Forgery,"3,306",,
Minnesota,Destruction/Damage/Vandalism ,"23,618",,
Minnesota,Embezzlement,156,,
Minnesota,Extortion/Blackmail,144,,
Minnesota,FraudOffenses,"13,812",,
Minnesota,Larceny/TheftOffenses,"57,242",,
Minnesota,MotorVehicleTheft,"10,039",,
Minnesota,Robbery,"2,852",,
Minnesota,StolenPropertyOffenses,"2,848",,
Mississippi,Arson,128,,
Mississippi,Bribery,9,,
Mississippi,Burglary/Breaking&Entering,"4,730",,
Mississippi,Counterfeiting/Forgery,734,,
Mississippi,Destruction/Damage/Vandalism ,"5,864",,
Mississippi,Embezzlement,502,,
Mississippi,Extortion/Blackmail,36,,
Mississippi,FraudOffenses,"3,708",,
Mississippi,Larceny/TheftOffenses,"18,123",,
Mississippi,MotorVehicleTheft,"2,221",,
Mississippi,Robbery,398,,
Mississippi,StolenPropertyOffenses,720,,
Missouri,Arson,760,,
Missouri,Bribery,3,,
Missouri,Burglary/Breaking&Entering,"13,587",,
Missouri,Counterfeiting/Forgery,"3,390",,
Missouri,Destruction/Damage/Vandalism ,"25,966",,
Missouri,Embezzlement,502,,
Missouri,Extortion/Blackmail,71,,
Missouri,FraudOffenses,"12,086",,
Missouri,Larceny/TheftOffenses,"72,422",,
Missouri,MotorVehicleTheft,"15,741",,
Missouri,Robbery,"2,865",,
Missouri,StolenPropertyOffenses,"2,415",,
Montana,Arson,156,,
Montana,Bribery,2,,
Montana,Burglary/Breaking&Entering,"2,696",,
Montana,Counterfeiting/Forgery,"1,014",,
Montana,Destruction/Damage/Vandalism ,"8,163",,
Montana,Embezzlement,72,,
Montana,Extortion/Blackmail,7,,
Montana,FraudOffenses,"2,525",,
Montana,Larceny/TheftOffenses,"18,039",,
Montana,MotorVehicleTheft,"2,521",,
Montana,Robbery,272,,
Montana,StolenPropertyOffenses,276,,
Nebraska,Arson,90,,
Nebraska,Bribery,8,,
Nebraska,Burglary/Breaking&Entering,"1,376",,
Nebraska,Counterfeiting/Forgery,611,,
Nebraska,Destruction/Damage/Vandalism ,"5,662",,
Nebraska,Embezzlement,81,,
Nebraska,Extortion/Blackmail,90,,
Nebraska,FraudOffenses,"2,335",,
Nebraska,Larceny/TheftOffenses,"8,108",,
Nebraska,MotorVehicleTheft,"1,110",,
Nebraska,Robbery,109,,
Nebraska,StolenPropertyOffenses,341,,
Nevada,Arson,154,,
Nevada,Bribery,7,,
Nevada,Burglary/Breaking&Entering,"4,866",,
Nevada,Counterfeiting/Forgery,669,,
Nevada,Destruction/Damage/Vandalism ,"8,551",,
Nevada,Embezzlement,490,,
Nevada,Extortion/Blackmail,115,,
Nevada,FraudOffenses,"6,930",,
Nevada,Larceny/TheftOffenses,"17,125",,
Nevada,MotorVehicleTheft,"4,648",,
Nevada,Robbery,"1,041",,
Nevada,StolenPropertyOffenses,"1,131",,
New Hampshire,Arson,145,,
New Hampshire,Bribery,3,,
New Hampshire,Burglary/Breaking&Entering,"1,314",,
New Hampshire,Counterfeiting/Forgery,689,,
New Hampshire,Destruction/Damage/Vandalism ,"7,847",,
New Hampshire,Embezzlement,111,,
New Hampshire,Extortion/Blackmail,122,,
New Hampshire,FraudOffenses,"5,472",,
New Hampshire,Larceny/TheftOffenses,"12,208",,
New Hampshire,MotorVehicleTheft,904,,
New Hampshire,Robbery,260,,
New Hampshire,StolenPropertyOffenses,710,,
New Mexico,Arson,234,,
New Mexico,Bribery,44,,
New Mexico,Burglary/Breaking&Entering,"7,221",,
New Mexico,Counterfeiting/Forgery,705,,
New Mexico,Destruction/Damage/Vandalism ,"15,032",,
New Mexico,Embezzlement,406,,
New Mexico,Extortion/Blackmail,110,,
New Mexico,FraudOffenses,"5,355",,
New Mexico,Larceny/TheftOffenses,"26,734",,
New Mexico,MotorVehicleTheft,"6,779",,
New Mexico,Robbery,"1,677",,
New Mexico,StolenPropertyOffenses,908,,
New York,Arson,111,,
New York,Bribery,1,,
New York,Burglary/Breaking&Entering,"2,195",,
New York,Counterfeiting/Forgery,622,,
New York,Destruction/Damage/Vandalism ,"8,007",,
New York,Embezzlement,8,,
New York,Extortion/Blackmail,45,,
New York,FraudOffenses,"2,260",,
New York,Larceny/TheftOffenses,"17,010",,
New York,MotorVehicleTheft,"1,289",,
New York,Robbery,551,,
New York,StolenPropertyOffenses,536,,
North Carolina,Arson,"1,405",,
North Carolina,Bribery,11,,
North Carolina,Burglary/Breaking&Entering,"40,035",,
North Carolina,Counterfeiting/Forgery,"5,115",,
North Carolina,Destruction/Damage/Vandalism ,"57,978",,
North Carolina,Embezzlement,"1,782",,
North Carolina,Extortion/Blackmail,626,,
North Carolina,FraudOffenses,"38,413",,
North Carolina,Larceny/TheftOffenses,"157,274",,
North Carolina,MotorVehicleTheft,"17,618",,
North Carolina,Robbery,"6,591",,
North Carolina,StolenPropertyOffenses,"5,288",,
North Dakota,Arson,87,,
North Dakota,Bribery,0,,
North Dakota,Burglary/Breaking&Entering,"2,823",,
North Dakota,Counterfeiting/Forgery,712,,
North Dakota,Destruction/Damage/Vandalism ,"4,522",,
North Dakota,Embezzlement,114,,
North Dakota,Extortion/Blackmail,45,,
North Dakota,FraudOffenses,"3,620",,
North Dakota,Larceny/TheftOffenses,"11,018",,
North Dakota,MotorVehicleTheft,"1,820",,
North Dakota,Robbery,144,,
North Dakota,StolenPropertyOffenses,650,,
Ohio,Arson,875,,
Ohio,Bribery,9,,
Ohio,Burglary/Breaking&Entering,"30,290",,
Ohio,Counterfeiting/Forgery,"2,351",,
Ohio,Destruction/Damage/Vandalism ,"61,775",,
Ohio,Embezzlement,113,,
Ohio,Extortion/Blackmail,383,,
Ohio,FraudOffenses,"18,935",,
Ohio,Larceny/TheftOffenses,"130,184",,
Ohio,MotorVehicleTheft,"17,091",,
Ohio,Robbery,"6,954",,
Ohio,StolenPropertyOffenses,"3,896",,
Oklahoma,Arson,539,,
Oklahoma,Bribery,10,,
Oklahoma,Burglary/Breaking&Entering,"14,068",,
Oklahoma,Counterfeiting/Forgery,"2,120",,
Oklahoma,Destruction/Damage/Vandalism ,"15,546",,
Oklahoma,Embezzlement,"1,246",,
Oklahoma,Extortion/Blackmail,256,,
Oklahoma,FraudOffenses,"14,713",,
Oklahoma,Larceny/TheftOffenses,"41,339",,
Oklahoma,MotorVehicleTheft,"8,637",,
Oklahoma,Robbery,"1,227",,
Oklahoma,StolenPropertyOffenses,"2,027",,
Oregon,Arson,"1,315",,
Oregon,Bribery,11,,
Oregon,Burglary/Breaking&Entering,"13,283",,
Oregon,Counterfeiting/Forgery,"3,155",,
Oregon,Destruction/Damage/Vandalism ,"35,668",,
Oregon,Embezzlement,253,,
Oregon,Extortion/Blackmail,160,,
Oregon,FraudOffenses,"16,272",,
Oregon,Larceny/TheftOffenses,"79,717",,
Oregon,MotorVehicleTheft,"15,607",,
Oregon,Robbery,"2,105",,
Oregon,StolenPropertyOffenses,"1,069",,
Pennsylvania,Arson,2,,
Pennsylvania,Bribery,0,,
Pennsylvania,Burglary/Breaking&Entering,20,,
Pennsylvania,Counterfeiting/Forgery,20,,
Pennsylvania,Destruction/Damage/Vandalism ,112,,
Pennsylvania,Embezzlement,3,,
Pennsylvania,Extortion/Blackmail,0,,
Pennsylvania,FraudOffenses,177,,
Pennsylvania,Larceny/TheftOffenses,353,,
Pennsylvania,MotorVehicleTheft,18,,
Pennsylvania,Robbery,6,,
Pennsylvania,StolenPropertyOffenses,11,,
Rhode Island,Arson,120,,
Rhode Island,Bribery,0,,
Rhode Island,Burglary/Breaking&Entering,"1,801",,
Rhode Island,Counterfeiting/Forgery,532,,
Rhode Island,Destruction/Damage/Vandalism ,"6,327",,
Rhode Island,Embezzlement,113,,
Rhode Island,Extortion/Blackmail,72,,
Rhode Island,FraudOffenses,"4,148",,
Rhode Island,Larceny/TheftOffenses,"10,076",,
Rhode Island,MotorVehicleTheft,"1,496",,
Rhode Island,Robbery,337,,
Rhode Island,StolenPropertyOffenses,432,,
South Carolina,Arson,710,,
South Carolina,Bribery,4,,
South Carolina,Burglary/Breaking&Entering,"21,659",,
South Carolina,Counterfeiting/Forgery,"4,563",,
South Carolina,Destruction/Damage/Vandalism ,"35,383",,
South Carolina,Embezzlement,827,,
South Carolina,Extortion/Blackmail,208,,
South Carolina,FraudOffenses,"20,234",,
South Carolina,Larceny/TheftOffenses,"103,272",,
South Carolina,MotorVehicleTheft,"14,065",,
South Carolina,Robbery,"3,076",,
South Carolina,StolenPropertyOffenses,"4,446",,
South Dakota,Arson,88,,
South Dakota,Bribery,0,,
South Dakota,Burglary/Breaking&Entering,"2,628",,
South Dakota,Counterfeiting/Forgery,824,,
South Dakota,Destruction/Damage/Vandalism ,"4,871",,
South Dakota,Embezzlement,227,,
South Dakota,Extortion/Blackmail,36,,
South Dakota,FraudOffenses,"2,323",,
South Dakota,Larceny/TheftOffenses,"12,987",,
South Dakota,MotorVehicleTheft,"2,120",,
South Dakota,Robbery,244,,
South Dakota,StolenPropertyOffenses,443,,
Tennessee,Arson,992,,
Tennessee,Bribery,23,,
Tennessee,Burglary/Breaking&Entering,"25,796",,
Tennessee,Counterfeiting/Forgery,"5,439",,
Tennessee,Destruction/Damage/Vandalism ,"47,632",,
Tennessee,Embezzlement,"1,646",,
Tennessee,Extortion/Blackmail,521,,
Tennessee,FraudOffenses,"25,717",,
Tennessee,Larceny/TheftOffenses,"126,481",,
Tennessee,MotorVehicleTheft,"20,718",,
Tennessee,Robbery,"5,604",,
Tennessee,StolenPropertyOffenses,"2,581",,
Texas,Arson,"2,423",,
Texas,Bribery,75,,
Texas,Burglary/Breaking&Entering,"81,815",,
Texas,Counterfeiting/Forgery,"16,970",,
Texas,Destruction/Damage/Vandalism ,"136,429",,
Texas,Embezzlement,"2,025",,
Texas,Extortion/Blackmail,562,,
Texas,FraudOffenses,"70,765",,
Texas,Larceny/TheftOffenses,"378,566",,
Texas,MotorVehicleTheft,"69,518",,
Texas,Robbery,"23,329",,
Texas,StolenPropertyOffenses,"3,274",,
Utah,Arson,277,,
Utah,Bribery,11,,
Utah,Burglary/Breaking&Entering,"7,643",,
Utah,Counterfeiting/Forgery,"2,416",,
Utah,Destruction/Damage/Vandalism ,"23,095",,
Utah,Embezzlement,85,,
Utah,Extortion/Blackmail,264,,
Utah,FraudOffenses,"12,573",,
Utah,Larceny/TheftOffenses,"53,131",,
Utah,MotorVehicleTheft,"8,669",,
Utah,Robbery,"1,159",,
Utah,StolenPropertyOffenses,"2,001",,
Vermont,Arson,42,,
Vermont,Bribery,1,,
Vermont,Burglary/Breaking&Entering,976,,
Vermont,Counterfeiting/Forgery,189,,
Vermont,Destruction/Damage/Vandalism ,"2,874",,
Vermont,Embezzlement,60,,
Vermont,Extortion/Blackmail,11,,
Vermont,FraudOffenses,"1,422",,
Vermont,Larceny/TheftOffenses,"6,451",,
Vermont,MotorVehicleTheft,260,,
Vermont,Robbery,64,,
Vermont,StolenPropertyOffenses,145,,
Virginia,Arson,621,,
Virginia,Bribery,26,,
Virginia,Burglary/Breaking&Entering,"11,405",,
Virginia,Counterfeiting/Forgery,"4,330",,
Virginia,Destruction/Damage/Vandalism ,"48,518",,
Virginia,Embezzlement,"1,792",,
Virginia,Extortion/Blackmail,872,,
Virginia,FraudOffenses,"33,569",,
Virginia,Larceny/TheftOffenses,"104,720",,
Virginia,MotorVehicleTheft,"10,770",,
Virginia,Robbery,"2,962",,
Virginia,StolenPropertyOffenses,"1,396",,
Washington,Arson,"1,297",,
Washington,Bribery,14,,
Washington,Burglary/Breaking&Entering,"38,635",,
Washington,Counterfeiting/Forgery,"4,361",,
Washington,Destruction/Damage/Vandalism ,"67,070",,
Washington,Embezzlement,209,,
Washington,Extortion/Blackmail,646,,
Washington,FraudOffenses,"57,591",,
Washington,Larceny/TheftOffenses,"148,503",,
Washington,MotorVehicleTheft,"27,100",,
Washington,Robbery,"5,154",,
Washington,StolenPropertyOffenses,"5,815",,
West Virginia,Arson,272,,
West Virginia,Bribery,3,,
West Virginia,Burglary/Breaking&Entering,"4,149",,
West Virginia,Counterfeiting/Forgery,814,,
West Virginia,Destruction/Damage/Vandalism ,"5,926",,
West Virginia,Embezzlement,87,,
West Virginia,Extortion/Blackmail,8,,
West Virginia,FraudOffenses,"2,067",,
West Virginia,Larceny/TheftOffenses,"15,529",,
West Virginia,MotorVehicleTheft,"1,994",,
West Virginia,Robbery,311,,
West Virginia,StolenPropertyOffenses,720,,
Wisconsin,Arson,545,,
Wisconsin,Bribery,9,,
Wisconsin,Burglary/Breaking&Entering,"10,462",,
Wisconsin,Counterfeiting/Forgery,"1,890",,
Wisconsin,Destruction/Damage/Vandalism ,"23,765",,
Wisconsin,Embezzlement,533,,
Wisconsin,Extortion/Blackmail,242,,
Wisconsin,FraudOffenses,"12,793",,
Wisconsin,Larceny/TheftOffenses,"54,942",,
Wisconsin,MotorVehicleTheft,"8,543",,
Wisconsin,Robbery,"2,922",,
Wisconsin,StolenPropertyOffenses,"1,264",,
Wyoming,Arson,8,,
Wyoming,Bribery,0,,
Wyoming,Burglary/Breaking&Entering,161,,
Wyoming,Counterfeiting/Forgery,51,,
Wyoming,Destruction/Damage/Vandalism ,404,,
Wyoming,Embezzlement,5,,
Wyoming,Extortion/Blackmail,5,,
Wyoming,FraudOffenses,153,,
Wyoming,Larceny/TheftOffenses,812,,
Wyoming,MotorVehicleTheft,74,,
Wyoming,Robbery,6,,
Wyoming,StolenPropertyOffenses,8,,
